batch_id,run_id,condition,outer_fold,seed,initialization_seed,shared_initialization_sha256,paired_plan_sha256,epoch,epoch_1based,logical_microbatches,successful_optimizer_steps_total,mean_loss,mean_partial_bce,mean_partial_dice_fp32,labelled_voxels_seen,foreground_voxels_seen,zero_label_microbatches,foreground_centered,background_centered,uniform_crop,amp_overflow_events,amp_retry_attempts,amp_scale_min,amp_scale_max,amp_scale_end,mean_preclip_grad_norm,max_preclip_grad_norm,learning_rate_end,epoch_seconds,peak_allocated_gb,peak_reserved_gb
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,21,22,120,1320,0.09987617560309445,0.017519411595990183,0.0823567638794581,8259,4169,1,63,29,28,0,0,1024.0,1024.0,1024.0,1.6951515143116316,13.048665046691895,0.0001373229911595876,25.686161064999396,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,22,23,120,1380,0.1272176257341817,0.018964901316224362,0.10825272450844446,8141,4119,0,66,31,23,0,0,1024.0,1024.0,1024.0,1.643958934675902,8.183721542358398,0.00012526946274844474,25.683384820000356,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,23,24,120,1440,0.1877486711610026,0.018232683974290176,0.16951598872741064,8302,4195,0,50,37,33,0,0,1024.0,1024.0,1024.0,2.6671173914646107,44.23463439941406,0.00011339201459540494,25.75585082299949,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,24,25,120,1500,0.09820230211434099,0.032009496879972704,0.06619280477364858,8164,4057,2,61,23,36,0,0,1024.0,1024.0,1024.0,2.7262233698119718,20.337142944335938,0.00010177037759260854,25.805726493999828,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,25,26,120,1560,0.21890711856516798,0.041039170363282786,0.17786794950564702,8153,4061,2,55,28,37,0,0,1024.0,1024.0,1024.0,5.628474960848689,67.63875579833984,9.048256542400759e-05,25.804061621000074,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,26,27,120,1620,0.08676168405428772,0.01910209526268667,0.0676595891515414,8166,4183,1,59,37,24,0,0,1024.0,1024.0,1024.0,1.6610499353148043,10.317858695983887,7.960435087538242e-05,25.612194627999997,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,27,28,120,1680,0.11568902214620115,0.032720183736824046,0.08296883801619212,8207,4166,1,55,28,37,0,0,1024.0,1024.0,1024.0,3.7777232228351445,29.49688148498535,6.920875718705205e-05,25.755089952999697,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,28,29,120,1740,0.1176596198744619,0.020274352195366892,0.09738526791334152,8260,4218,0,57,32,31,0,0,1024.0,1024.0,1024.0,2.5610831988791083,18.029983520507812,5.936556786372413e-05,25.710515942999336,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,29,30,120,1800,0.12792541722548,0.013969980471190994,0.11395543565352757,8262,4163,0,57,29,34,0,0,1024.0,1024.0,1024.0,1.5740872882694628,9.979425430297852,5.014085823202989e-05,25.672279344000344,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,30,31,120,1860,0.07248906066891792,0.007953703984005033,0.06453535656134288,8100,4299,2,58,23,39,0,0,1024.0,1024.0,1024.0,1.4425538812143108,15.692717552185059,4.159655189030408e-05,25.601469922001343,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,31,32,120,1920,0.11285696773368734,0.01726131727730995,0.09559565087159475,7947,4058,0,65,27,28,0,0,1024.0,1024.0,1024.0,2.2976825421404405,16.84317970275879,3.379000502807257e-05,25.60234624199984,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,32,33,120,1980,0.11029232465698106,0.01578910412615898,0.09450321992238363,8290,4157,0,70,30,20,0,0,1024.0,1024.0,1024.0,2.21773484077324,32.532005310058594,2.6773621405624713e-05,25.66308041800039,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,33,34,120,2040,0.11701519656599392,0.008643639220138529,0.1083715558052063,8042,3982,0,57,32,31,0,0,1024.0,1024.0,1024.0,1.5755122262334529,9.121159553527832,2.059450057823627e-05,25.672054377000677,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,34,35,120,2100,0.08949659156101979,0.015012406456208553,0.07448418438434601,8155,4045,1,53,34,33,0,0,1024.0,1024.0,1024.0,3.2428076030764106,54.30976104736328,1.5294121726440254e-05,25.62891277199924,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,35,36,120,2160,0.06094192246527162,0.010803285233055248,0.05013863692680995,8494,4159,0,64,34,22,0,0,1024.0,1024.0,1024.0,1.9479979175007125,18.589794158935547,1.0908065214729997e-05,25.584760829000516,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,36,37,120,2220,0.11651042460103875,0.027003547922700752,0.0895068754752477,8037,4091,0,57,32,31,0,0,1024.0,1024.0,1024.0,3.9271433061532055,48.54011535644531,7.465773747813819e-06,25.613839723000638,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,37,38,120,2280,0.06193749919117151,0.012296339895348962,0.049641159176826474,8310,4390,1,71,26,23,0,0,1024.0,1024.0,1024.0,3.0456639688955573,41.83971405029297,4.990354727730315e-06,25.589285775000462,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,38,39,120,2340,0.12808563853309998,0.0091998674991092,0.11888577143351237,7952,4061,0,53,27,40,0,0,1024.0,1024.0,1024.0,2.118453755081767,31.992633819580078,3.498425138561358e-06,25.640974501000528,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_coh_fold1_seed29,C50_COH,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,39,40,120,2400,0.058469530155824526,0.010424072973851768,0.04804545690615972,8059,4303,2,58,27,35,0,0,1024.0,1024.0,1024.0,2.4105313537975235,23.559566497802734,3e-06,25.615090704000977,1.3336772918701172,1.361328125
fold1_seed29,cova3d_c50_dis_fold1_seed29,C50_DIS,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,0,1,120,60,2.471597785745204,2.040524563311677,0.43107322106758755,7901,4062,2,58,30,32,2,2,1024.0,4096.0,1024.0,83.18152271906534,244.39540100097656,0.00017999999999999998,27.094132541000363,1.3363170623779297,1.3671875
fold1_seed29,cova3d_c50_dis_fold1_seed29,C50_DIS,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,1,2,120,120,1.2456958318750064,0.85024456170698,0.3954512615998586,7722,3894,0,58,25,37,0,0,1024.0,1024.0,1024.0,25.309183009465535,81.45697784423828,0.0002999445918673937,26.381262122000408,1.3363170623779297,1.3671875
fold1_seed29,cova3d_c50_dis_fold1_seed29,C50_DIS,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,2,3,120,180,0.894580733589828,0.5566074145492166,0.33797332147757214,8185,4111,1,62,30,28,0,0,1024.0,1024.0,1024.0,10.429972366491954,88.5670394897461,0.0002991142965839822,26.141818895999677,1.3363170623779297,1.3671875
fold1_seed29,cova3d_c50_dis_fold1_seed29,C50_DIS,1,29,1864415079,fbdb93fe8c701f7ef1a0c86eb54c7e20f6afcb3334eec45d058209ef57dc5a05,6642a4475ebd4023eeb60bbad3d69fd90f9fd3dd7326c61d31b7e9f242a756ef,3,4,120,240,0.7010824212804436,0.44648800720460713,0.2545944149295489,8301,4536,0,68,30,22,0,0,1024.0,1024.0,1024.0,7.691093941529592,25.3419132232666,0.0002972930965702204,26.18266308999955,1.3363170623779297,1.3671875
