case_id,source_origin,condition,threshold,dice,iou,predicted_components,eligible_reference_components,component_to_reference_ratio,fp_components,fp_volume_ml,iou_0p10_recall,iou_0p25_recall,any_overlap_recall,predicted_foreground_volume_ml,median_component_volume_ml,p90_component_volume_ml,largest_component_volume_ml,largest_component_volume_fraction,fraction_components_lt_0p1ml,fraction_components_lt_0p5ml
coronacases_008,Coronacases,complete,0.5,0.04400771424046238,0.022498920144449142,484,33,14.666666666666666,483,11547.243844538598,0.030303030303030304,0.030303030303030304,0.06060606060606061,11813.569654614183,0.0073508151927980814,0.12774666688626946,11718.347194606675,0.9919395692587875,0.8760330578512396,0.9752066115702479
coronacases_008,Coronacases,complete,0.6000000238418579,0.10628232162877331,0.05612363597945919,811,33,24.575757575757574,809,4381.631390406607,0.06060606060606061,0.06060606060606061,0.09090909090909091,4643.821841878014,0.006825756964741076,0.1359900810667645,4318.326695024459,0.9299079168114852,0.8618988902589396,0.9728729963008631
coronacases_008,Coronacases,complete,0.699999988079071,0.13559197020513708,0.07272655343586779,629,33,19.060606060606062,627,3240.3537996791106,0.06060606060606061,0.06060606060606061,0.09090909090909091,3497.106223082531,0.008400931648912093,0.20025720818094206,3177.67654887949,0.9086588585457724,0.8553259141494436,0.9570747217806042
coronacases_008,Coronacases,complete,0.800000011920929,0.1688955318785824,0.09223697217661052,597,33,18.09090909090909,594,2422.5252038904305,0.09090909090909091,0.06060606060606061,0.12121212121212122,2672.7228003747864,0.008925989876969099,0.14869649018574393,1285.322590070884,0.48090381460084364,0.8693467336683417,0.948073701842546
coronacases_008,Coronacases,complete,0.8999999761581421,0.2234382069274341,0.1257700170062745,571,33,17.303030303030305,566,1620.1711241990467,0.15151515151515152,0.09090909090909091,0.15151515151515152,1860.4167670288107,0.00630069873668407,0.24047666845010865,669.9532966716171,0.36010925538021776,0.8581436077057794,0.9299474605954466
coronacases_008,Coronacases,pixel_dropout_matched_50,0.10000000149011612,0.03135909918104375,0.015929314060272922,143,33,4.333333333333333,143,16980.94648284227,0.0,0.0,0.06060606060606061,17256.06124259731,0.010501164561140116,0.15426210740314827,17247.133677545648,0.9994826417844633,0.8391608391608392,0.9790209790209791
coronacases_008,Coronacases,pixel_dropout_matched_50,0.20000000298023224,0.03310745001880186,0.01683236332311002,194,33,5.878787878787879,194,15736.349509172402,0.0,0.0,0.06060606060606061,16006.111300292394,0.00997610633308311,0.10889707649902303,15991.520982251142,0.9990884532934002,0.8814432989690721,0.979381443298969
coronacases_008,Coronacases,pixel_dropout_matched_50,0.30000001192092896,0.0345108296060369,0.017558392142715058,246,33,7.454545454545454,246,14795.176859739711,0.0,0.0,0.06060606060606061,15060.048783581808,0.010763693675168618,0.12155097979519684,15047.24628880709,0.9991499034990726,0.8861788617886179,0.9715447154471545
coronacases_008,Coronacases,pixel_dropout_matched_50,0.4000000059604645,0.036132188202631865,0.018398482823323542,251,33,7.606060606060606,251,13824.331069606606,0.0,0.0,0.09090909090909091,14084.013842980814,0.007875873420855087,0.11971327599699733,14069.31641306104,0.9989564459334085,0.8804780876494024,0.9880478087649402
coronacases_008,Coronacases,pixel_dropout_matched_50,0.5,0.06797429891605,0.035182916499461404,2342,33,70.96969696969697,2341,6937.670500760286,0.030303030303030304,0.030303030303030304,0.09090909090909091,7191.961976248802,0.0010501164561140116,0.013651513929482152,7152.093779934206,0.9944565618608303,0.9756618274978651,0.9944491887275833
