condition,threshold,macro_dice,macro_iou,mean_predicted_components,mean_component_to_reference_ratio,mean_fp_components,mean_fp_volume_ml,macro_iou_0p10_recall,macro_iou_0p25_recall,macro_any_overlap_recall,mean_predicted_foreground_volume_ml,mean_median_component_volume_ml,mean_largest_component_fraction,mean_fraction_components_lt_0p1ml,mean_fraction_components_lt_0p5ml
component_natural_50,0.5,0.17272972085608196,0.09805453981867213,314.75,23.198853230103232,312.25,3191.92751335674,0.10447885447885448,0.059815184815184816,0.19417041292041293,3574.8259668858377,0.020222575997820062,0.6718162533233131,0.7426675195234319,0.8922557041998883
component_natural_50,0.6000000238418579,0.18612127570641182,0.10634975897767912,324.75,23.759282384282386,322.25,2636.1116717709865,0.10447885447885448,0.059815184815184816,0.23029054279054278,2991.982630381229,0.019799903583249814,0.6200877079814895,0.7465586132772591,0.8793759760958385
component_natural_50,0.699999988079071,0.2006320184580952,0.1153075400817907,336.25,24.132117882117882,332.5,2115.3914998348014,0.14371045621045622,0.09282384282384282,0.2838827838827839,2440.1695801800224,0.022048460846536902,0.41025616454245717,0.7397992267793618,0.8668967005669997
component_natural_50,0.800000011920929,0.21674427294814352,0.12522961724438506,358.0,25.361055611055612,352.5,1613.2134928391738,0.2138070263070263,0.13613469863469863,0.40894522144522144,1900.947468833394,0.019579382373372013,0.40718372961427285,0.7289708060617528,0.8648950994935045
component_natural_50,0.8999999761581421,0.2379108805178265,0.13817759809966176,362.75,25.356757825507827,356.0,1062.4500723921133,0.30002289377289376,0.1580919080919081,0.5665896603396603,1299.3519903194415,0.031130636341408273,0.2763603088054316,0.6820956116075318,0.8296556613980011
pixel_dropout_matched_50,0.10000000149011612,0.03742306252496295,0.019255526681562173,156.25,9.854624542124542,156.25,24517.69594206467,0.0,0.0,0.1116487678987679,24995.53007404548,0.019039229667980995,0.999570590156228,0.8056404369373249,0.9719435083687191
pixel_dropout_matched_50,0.20000000298023224,0.03836173169687269,0.019740726059294326,249.25,16.04833707958708,249.25,22736.53924787121,0.0,0.0,0.1116487678987679,23194.87863470236,0.016863524369082904,0.999000604174471,0.8318843036820875,0.9683817992227597
pixel_dropout_matched_50,0.30000001192092896,0.039205593235270605,0.020177133165753258,324.25,21.403814935064936,324.25,21239.99460968784,0.0,0.0,0.12057733932733933,21681.72705470425,0.014607092314343675,0.9980424548872858,0.8463172547358229,0.9636709435332567
pixel_dropout_matched_50,0.4000000059604645,0.040110871457987654,0.02064228188346947,402.75,27.955773393273393,402.75,19684.361542445662,0.0,0.0,0.13845529470529472,20109.260468934193,0.013768312065514788,0.9970565063523099,0.8306915529583002,0.960859845886457
pixel_dropout_matched_50,0.5,0.07735758938666465,0.040987186578359154,5099.75,351.0363802863803,5099.5,9504.49013614785,0.007575757575757576,0.007575757575757576,0.13845529470529472,9912.664006331172,0.0023653824485375947,0.9843775205760364,0.9713261920634834,0.9936151132367769
pixel_dropout_matched_50,0.6000000238418579,0.13629328234981714,0.07552770326792273,978.5,68.81584040959041,978.0,4766.969126100254,0.015151515151515152,0.007575757575757576,0.1460310522810523,5156.6460809478285,0.011710087057437469,0.9701511196429807,0.8259006775515586,0.9526357799027146
pixel_dropout_matched_50,0.699999988079071,0.17170926280979998,0.09753232954291682,898.0,63.85526973026973,896.75,3352.9354568443787,0.06254162504162504,0.007575757575757576,0.1652618215118215,3719.6142090405383,0.014235612806516806,0.7588700433981267,0.8030534695822704,0.9410915002907667
pixel_dropout_matched_50,0.800000011920929,0.20783870788354314,0.12063977179430203,846.75,59.21288086913087,843.75,2360.069415269613,0.11963036963036963,0.06116799866799867,0.2611763236763237,2699.6055584348205,0.019841911487400516,0.36394407676975626,0.7664888024950893,0.9095939857292475
pixel_dropout_matched_50,0.8999999761581421,0.2526608360508852,0.1501115125783892,834.75,57.095841658341655,830.25,1484.954745400334,0.21513902763902765,0.1481539294039294,0.35767357642357644,1783.6600882192897,0.02274022695544726,0.35353315527016327,0.7498724230904021,0.9038453258643383
