condition,case_id,source_origin,voxel_threshold,prediction_components,eligible_references,true_positives,false_positives,neutral_small,recall
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.995,413,28,17,395,1,0.6071428571428571
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.9975,363,28,18,344,1,0.6428571428571429
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.999,309,28,15,294,0,0.5357142857142857
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,0.9995,283,28,16,267,0,0.5714285714285714
pixel_dropout_matched_50,radiopaedia_14_85914_0,Radiopaedia,1.000001,0,28,0,0,0,0.0
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.1,269,13,0,269,0,0.0
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.2,470,13,0,470,0,0.0
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.3,650,13,0,650,0,0.0
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.4,917,13,0,917,0,0.0
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.5,11641,13,0,11641,0,0.0
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.6,1870,13,0,1870,0,0.0
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.7,1613,13,2,1611,0,0.15384615384615385
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.8,1460,13,2,1458,0,0.15384615384615385
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.85,1443,13,2,1441,0,0.15384615384615385
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.9,1368,13,2,1366,0,0.15384615384615385
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.925,1313,13,2,1311,0,0.15384615384615385
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.95,1273,13,2,1271,0,0.15384615384615385
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.96,1244,13,3,1241,0,0.23076923076923078
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.97,1199,13,4,1195,0,0.3076923076923077
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.98,1191,13,4,1187,0,0.3076923076923077
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.985,1198,13,6,1192,0,0.46153846153846156
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.99,1130,13,7,1123,0,0.5384615384615384
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.9925,1137,13,8,1129,0,0.6153846153846154
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.995,1082,13,8,1074,0,0.6153846153846154
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.9975,981,13,10,971,0,0.7692307692307693
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.999,829,13,10,819,0,0.7692307692307693
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,0.9995,698,13,10,688,0,0.7692307692307693
pixel_dropout_matched_50,radiopaedia_27_86410_0,Radiopaedia,1.000001,0,13,0,0,0,0.0
component_natural_50,coronacases_004,Coronacases,0.1,218,8,0,218,0,0.0
component_natural_50,coronacases_004,Coronacases,0.2,229,8,0,229,0,0.0
component_natural_50,coronacases_004,Coronacases,0.3,281,8,0,281,0,0.0
component_natural_50,coronacases_004,Coronacases,0.4,312,8,0,312,0,0.0
component_natural_50,coronacases_004,Coronacases,0.5,339,8,0,339,0,0.0
component_natural_50,coronacases_004,Coronacases,0.6,362,8,0,362,0,0.0
component_natural_50,coronacases_004,Coronacases,0.7,342,8,0,342,0,0.0
component_natural_50,coronacases_004,Coronacases,0.8,326,8,0,326,0,0.0
component_natural_50,coronacases_004,Coronacases,0.85,336,8,0,336,0,0.0
component_natural_50,coronacases_004,Coronacases,0.9,315,8,1,314,0,0.125
component_natural_50,coronacases_004,Coronacases,0.925,327,8,1,326,0,0.125
component_natural_50,coronacases_004,Coronacases,0.95,356,8,1,355,0,0.125
component_natural_50,coronacases_004,Coronacases,0.96,346,8,1,345,0,0.125
component_natural_50,coronacases_004,Coronacases,0.97,354,8,1,353,0,0.125
component_natural_50,coronacases_004,Coronacases,0.98,337,8,1,336,0,0.125
component_natural_50,coronacases_004,Coronacases,0.985,313,8,2,311,0,0.25
component_natural_50,coronacases_004,Coronacases,0.99,293,8,3,290,0,0.375
component_natural_50,coronacases_004,Coronacases,0.9925,283,8,3,280,0,0.375
component_natural_50,coronacases_004,Coronacases,0.995,280,8,3,277,0,0.375
component_natural_50,coronacases_004,Coronacases,0.9975,228,8,4,224,0,0.5
component_natural_50,coronacases_004,Coronacases,0.999,152,8,5,147,0,0.625
component_natural_50,coronacases_004,Coronacases,0.9995,112,8,2,110,0,0.25
component_natural_50,coronacases_004,Coronacases,1.000001,0,8,0,0,0,0.0
component_natural_50,coronacases_008,Coronacases,0.1,243,33,0,243,0,0.0
component_natural_50,coronacases_008,Coronacases,0.2,229,33,0,229,0,0.0
component_natural_50,coronacases_008,Coronacases,0.3,239,33,2,237,0,0.06060606060606061
component_natural_50,coronacases_008,Coronacases,0.4,236,33,2,234,0,0.06060606060606061
component_natural_50,coronacases_008,Coronacases,0.5,265,33,4,261,0,0.12121212121212122
component_natural_50,coronacases_008,Coronacases,0.6,281,33,4,277,0,0.12121212121212122
component_natural_50,coronacases_008,Coronacases,0.7,276,33,8,268,0,0.24242424242424243
component_natural_50,coronacases_008,Coronacases,0.8,287,33,10,277,0,0.30303030303030304
component_natural_50,coronacases_008,Coronacases,0.85,296,33,11,285,0,0.3333333333333333
component_natural_50,coronacases_008,Coronacases,0.9,295,33,11,284,0,0.3333333333333333
component_natural_50,coronacases_008,Coronacases,0.925,322,33,11,311,0,0.3333333333333333
component_natural_50,coronacases_008,Coronacases,0.95,325,33,14,311,0,0.42424242424242425
component_natural_50,coronacases_008,Coronacases,0.96,330,33,15,315,0,0.45454545454545453
component_natural_50,coronacases_008,Coronacases,0.97,311,33,17,294,0,0.5151515151515151
component_natural_50,coronacases_008,Coronacases,0.98,303,33,18,285,0,0.5454545454545454
component_natural_50,coronacases_008,Coronacases,0.985,291,33,20,271,0,0.6060606060606061
component_natural_50,coronacases_008,Coronacases,0.99,281,33,21,260,0,0.6363636363636364
component_natural_50,coronacases_008,Coronacases,0.9925,242,33,21,221,0,0.6363636363636364
component_natural_50,coronacases_008,Coronacases,0.995,217,33,20,197,0,0.6060606060606061
component_natural_50,coronacases_008,Coronacases,0.9975,173,33,22,151,0,0.6666666666666666
component_natural_50,coronacases_008,Coronacases,0.999,146,33,16,130,0,0.48484848484848486
component_natural_50,coronacases_008,Coronacases,0.9995,106,33,14,92,0,0.42424242424242425
component_natural_50,coronacases_008,Coronacases,1.000001,0,33,0,0,0,0.0
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.1,183,28,0,183,0,0.0
